62466 ,Fårö ,Gotland ,05 ,57.9167 ,19.1333 ,4
62467 ,Fårö ,Gotland ,05 ,57.9167 ,19.1333 ,4
74950 ,Ekolsund ,Uppsala ,21 ,59.6167 ,17.3667 ,4
73494 ,Strömsholm ,Västmanland ,25 ,59.5333 ,16.25 ,4
13220 ,Saltsjö-boo ,Stockholm ,26 ,59.3173 ,18.255 ,4
19040 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,4
19045 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,4
19046 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,4
19047 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,4
19050 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,4
19060 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,4
19090 ,Stockholm-Arlanda ,Stockholm ,26 ,59.6352 ,17.9125 ,
19587 ,Stockholm ,Stockholm ,26 ,59.3326 ,18.0649 ,4
21845 ,Vintrie ,Skåne ,27 ,55.55 ,12.9667 ,4
23040 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,4
23041 ,Klågerup ,Skåne ,27 ,55.6 ,13.25 ,4
23053 ,Alnarp ,Skåne ,27 ,55.6583 ,13.0833 ,4
23302 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,
23361 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,
23362 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,
23363 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,
23364 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,
23365 ,Bara ,Skåne ,27 ,55.5833 ,13.2 ,
23375 ,Klagerup ,Skåne ,27 ,55.5833 ,13.2 ,
23376 ,Klågerup ,Skåne ,27 ,55.6 ,13.25 ,
23456 ,Alnarp ,Skåne ,27 ,55.6583 ,13.0833 ,
26172 ,Häljarp ,Skåne ,27 ,55.85 ,12.9167 ,4
26173 ,Häljarp ,Skåne ,27 ,55.85 ,12.9167 ,4
26620 ,Munka-ljungby ,Skåne ,27 ,56.25 ,12.9667 ,4
42720 ,Billdal ,Västra Götaland ,28 ,57.5667 ,11.9333 ,4
42724 ,Billdal ,Västra Götaland ,28 ,57.5667 ,11.9333 ,4
18600 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18645 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18646 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18648 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,
18649 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18650 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18651 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18652 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18653 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18654 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18655 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18660 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18670 ,Brottby ,Stockholm ,AB ,Vallentuna ,0115 ,59.5632 ,18.2403 ,4
18686 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18691 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18692 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18693 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18694 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18695 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18696 ,Vallentuna ,Stockholm ,AB ,Vallentuna ,0115 ,59.5344 ,18.0776 ,4
18697 ,Brottby ,Stockholm ,AB ,Vallentuna ,0115 ,59.5632 ,18.2403 ,4
13025 ,Ingmarsö ,Stockholm ,AB ,Österåker ,0117 ,59.4675 ,18.7494 ,4
18400 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18403 ,Ljusterö ,Stockholm ,AB ,Österåker ,0117 ,59.5275 ,18.6211 ,4
18410 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18421 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18422 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18423 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18424 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18425 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18426 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18427 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18428 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18430 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18431 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18432 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18433 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18434 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18435 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18436 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18437 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18438 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18439 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,
18440 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18441 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18442 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18443 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18444 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18450 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18451 ,Österskär ,Stockholm ,AB ,Österåker ,0117 ,59.4671 ,18.3062 ,4
18452 ,Österskär ,Stockholm ,AB ,Österåker ,0117 ,59.4671 ,18.3062 ,4
18453 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,
18460 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18461 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18462 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18463 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18464 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,
18470 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18480 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18485 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18486 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18491 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18492 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18493 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,
18494 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,4
18495 ,Ljusterö ,Stockholm ,AB ,Österåker ,0117 ,59.5275 ,18.6211 ,4
18496 ,Åkersberga ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,
18497 ,Ljusterö ,Stockholm ,AB ,Österåker ,0117 ,59.5275 ,18.6211 ,4
18499 ,Husarö ,Stockholm ,AB ,Österåker ,0117 ,59.4794 ,18.2997 ,
13033 ,Gällnöby ,Stockholm ,AB ,Värmdö ,0120 ,59.4 ,18.6333 ,4
13034 ,Skälvik ,Stockholm ,AB ,Värmdö ,0120 ,59.4481 ,18.69 ,4
13036 ,Nämdö ,Stockholm ,AB ,Värmdö ,0120 ,59.1833 ,18.6833 ,4
13037 ,Stavsnäs ,Stockholm ,AB ,Värmdö ,0120 ,59.2833 ,18.6833 ,4
13038 ,Runmarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3196 ,18.7213 ,1
13039 ,Sandhamn ,Stockholm ,AB ,Värmdö ,0120 ,59.2833 ,18.9167 ,4
13040 ,Djurhamn ,Stockholm ,AB ,Värmdö ,0120 ,59.3 ,18.6833 ,4
13041 ,Sollenkroka Ö ,Stockholm ,AB ,Värmdö ,0120 ,59.3499 ,18.7582 ,
13042 ,Stavsudda ,Stockholm ,AB ,Värmdö ,0120 ,59.3499 ,18.7582 ,1
13043 ,Möja ,Stockholm ,AB ,Värmdö ,0120 ,59.3997 ,18.8331 ,4
13044 ,Harö ,Stockholm ,AB ,Värmdö ,0120 ,59.3499 ,18.7582 ,
13045 ,Gränö ,Stockholm ,AB ,Värmdö ,0120 ,59.3499 ,18.7582 ,
13400 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13401 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13406 ,Ingarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,1
13407 ,Ingarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,1
13408 ,Ingarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,1
13421 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13422 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13423 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13424 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13425 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13426 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13427 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13428 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13429 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13430 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13431 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13433 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13434 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13435 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13436 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13437 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13438 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13440 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13441 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13442 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13443 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13444 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13450 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,
13451 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,
13452 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13453 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13460 ,Ingarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,1
13461 ,Ingarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,1
13462 ,Ingarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,1
13463 ,Ingarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,1
13464 ,Ingarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,1
13465 ,Ingarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,1
13466 ,Ingarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,1
13467 ,Ingarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,1
13469 ,Ingarö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,1
13481 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13482 ,Gustavsberg ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,4
13492 ,Tynningö ,Stockholm ,AB ,Värmdö ,0120 ,59.3268 ,18.3898 ,
13901 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13902 ,Djurhamn ,Stockholm ,AB ,Värmdö ,0120 ,59.3 ,18.6833 ,
13903 ,Stavsnäs ,Stockholm ,AB ,Värmdö ,0120 ,59.2833 ,18.6833 ,
13921 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13922 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13923 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13924 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13930 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13932 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13933 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13934 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13935 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13936 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13940 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13941 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13950 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13951 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13952 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13953 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13954 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13955 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13956 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13960 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
13970 ,Stavsnäs ,Stockholm ,AB ,Värmdö ,0120 ,59.2833 ,18.6833 ,
13971 ,Stavsnäs ,Stockholm ,AB ,Värmdö ,0120 ,59.2833 ,18.6833 ,
13972 ,Djurhamn ,Stockholm ,AB ,Värmdö ,0120 ,59.3 ,18.6833 ,
13973 ,Djurhamn ,Stockholm ,AB ,Värmdö ,0120 ,59.3 ,18.6833 ,
13974 ,Djurhamn ,Stockholm ,AB ,Värmdö ,0120 ,59.3 ,18.6833 ,
13975 ,Djurhamn ,Stockholm ,AB ,Värmdö ,0120 ,59.3 ,18.6833 ,
13990 ,Värmdö ,Stockholm ,AB ,Värmdö ,0120 ,59.35 ,18.5 ,4
17500 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17504 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17506 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17508 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17514 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,
17515 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,
17516 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,
17517 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,
17518 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,
17519 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,
17526 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17527 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17529 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17541 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17543 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17544 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17545 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17546 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17547 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17548 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17549 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17550 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17551 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17552 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17553 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17554 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17555 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17556 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17557 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17560 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17561 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17562 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17563 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17564 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17565 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17566 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17567 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17568 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17569 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17579 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17580 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17581 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,
17584 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17588 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17589 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17600 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
17602 ,Järfälla ,Stockholm ,AB ,Järfälla ,0123 ,59.3501 ,17.9658 ,1
